NAME,TOTALREV,TFEDREV,TSTREV,TLOCREV,tot_rev_per_s,fed_rev_per_s,st_rev_per_s,loc_rev_per_s,ENROLL,TOTALEXP,TCURINST,tot_spend_per_s,tot_inst_per_s,lat,lng,ave_school_enrol,ave_prcnt_wht,ave_prcnt_bk,ave_prcnt_hisp,ave_prcnt_asn,ave_prcnt_othr,free_lunch_eligible,not_eligible,total_count,percent_student_body_eligible_for_frl,majority_minority
Adams Township School District,4927,268,3442,1217,10.87637969,0.591611479,7.598233996,2.686534216,453,4600,2320,10.15452539,5.121412804,47.05523415,-88.65829815,223,98,0.5,0.5,0,1,87,106,228,53.5,No
Addison Community Schools,10189,1130,4035,5024,11.91695906,1.321637427,4.719298246,5.876023392,855,9444,5452,11.04561404,6.376608187,41.9882544,-84.3434131,220.5,88,1,6.5,0.5,4.5,98.5,108.5,223.5,51.5,No
"Adrian, School District of the City of",37526,6400,21662,9464,12.66486669,2.159973,7.310833615,3.194060074,2963,35850,19725,12.09922376,6.657104286,41.89570634,-84.04982226,431.6,58.2,4,29.4,1.2,7.4,257.4,156,445.4,70.4,No
Airport Community Schools,27360,1257,18938,7165,11.07244031,0.508700931,7.664103602,2.899635775,2471,26644,14466,10.78267908,5.854309996,42.04126472,-83.33854654,246.8,91.8,3.2,3.8,0.4,0.6,125.8,122.4,261.8,56.2,No
Akron-Fairgrove Schools,3993,296,1587,2110,14.15957447,1.04964539,5.627659574,7.482269504,282,5427,1777,19.24468085,6.30141844,43.5569764,-83.5299381,143.5,88.5,0.5,7.5,0.5,3,93,38,145.5,74,No
Alba Public Schools,1739,148,738,853,12.78676471,1.088235294,5.426470588,6.272058824,136,1576,841,11.58823529,6.183823529,44.9777259,-84.9700241,129,90,1,2,0,7,83,27,124,78,No
Alcona Community Schools,8100,281,1274,6545,11.06557377,0.383879781,1.740437158,8.941256831,732,7432,4633,10.15300546,6.329234973,44.65731165,-83.4042043,361.5,94,1.5,2,0.5,2,214,112.5,363,69.5,No
Algonac Community School District,19625,912,10106,8607,11.72341697,0.544802867,6.037037037,5.141577061,1674,19107,10558,11.41397849,6.307048984,42.63062513,-82.55720427,539.6666667,97.33333333,0.666666667,1,0,1,194.3333333,275.6666667,504,47.66666667,No
Allegan Public Schools,28843,1369,18436,9038,11.31541781,0.537073362,7.232640251,3.545704198,2549,26788,14852,10.5092193,5.826598666,42.52649179,-85.8567982,363.2857143,87.14285714,2.142857143,6,0.714285714,4.428571429,174.5714286,152,358,61.14285714,No
Allen Park Public Schools,41215,875,31043,9297,10.80907422,0.229478101,8.14135851,2.438237608,3813,39755,24205,10.42617362,6.348019932,42.24552257,-83.2133512,628.1666667,83,2.333333333,12.5,0.5,2,203,403.5,636.6666667,41.66666667,No
Allendale Public Schools,31116,639,19636,10841,11.79977247,0.242320819,7.446340538,4.111111111,2637,28949,15646,10.97800531,5.93325749,42.96316008,-85.9611354,637.5,84,1.5,10,1,3.75,153,466.5,654,29,No
Alma Public Schools,23904,1690,16029,6185,11.20149953,0.791940019,7.511246485,2.898313027,2134,22451,12870,10.52061856,6.030927835,43.38318695,-84.66388405,412.25,83.5,3.5,10.25,1.5,1.5,218.75,166.5,404,60.5,No
Almont Community Schools,16065,380,11245,4440,10.91372283,0.258152174,7.639266304,3.016304348,1472,14012,8598,9.519021739,5.841032609,42.930558,-83.03980835,500,93,0,5.5,0,1.5,115,375,512,26.5,No
Alpena Public Schools,41653,3510,26038,12105,10.57988316,0.891541783,6.613665227,3.074676149,3937,38545,21923,9.790449581,5.568453137,45.05164086,-83.47323887,437.1111111,94.66666667,0.666666667,1.777777778,0.333333333,2.888888889,200.3333333,192.7777778,424.5555556,62.11111111,No
Anchor Bay School District,66663,1191,46949,18523,10.90868925,0.194894453,7.682703322,3.031091474,6111,62089,36089,10.16020291,5.905580101,42.68233361,-82.75771275,504.6363636,89.18181818,3.363636364,2.545454545,1,4.090909091,114.3636364,361.6363636,495,36.81818182,No
Ann Arbor Public Schools,250114,6069,104559,139486,14.51366564,0.352173156,6.067370742,8.094121743,17233,244282,130715,14.17524517,7.585156386,42.2740058,-83.73488591,520.6451613,57.83870968,12.80645161,7.483870968,11.96774194,9.903225806,119.3225806,377.6774194,512.0967742,29.74193548,No
Armada Area Schools,20469,245,12582,7642,10.82443152,0.129561079,6.653622422,4.041248017,1891,19253,10336,10.18138551,5.465891063,42.8480667,-82.8809153,564.5,97,0,2,0,1,81.5,446.5,541.5,18,No
Ashley Community Schools,3093,220,2199,674,11.24727273,0.8,7.996363636,2.450909091,275,2749,1558,9.996363636,5.665454545,43.1869573,-84.4726116,92,96,0,3,0,1,46,42,94,55,No
Athens Area Schools,6210,331,3782,2097,10.99115044,0.585840708,6.69380531,3.711504425,565,5510,3370,9.752212389,5.96460177,42.1257686,-85.22105785,283,90,1.5,1,0,7.5,109,158,278,44,No
Atherton Community Schools,9310,796,6017,2497,10.09761388,0.863340564,6.526030369,2.70824295,922,8582,4659,9.30802603,5.053145336,42.9835157,-83.62228,300.3333333,61,22,9,0,8,218,61.66666667,295.6666667,79.33333333,No
Atlanta Community Schools,3213,335,338,2540,12.45348837,1.298449612,1.310077519,9.84496124,258,2871,1715,11.12790698,6.647286822,44.9939631,-84.1492465,259,92,1,2,0,4,136,68,239,72,No
Au Gres-Sims School District,4411,376,1518,2517,11.42746114,0.974093264,3.932642487,6.520725389,386,3848,2333,9.968911917,6.044041451,44.0462072,-83.6969632,156.5,93.5,0,3.5,0,3,96.5,71,182.5,60,No
AuTrain-Onota Public Schools,1007,66,100,841,32.48387097,2.129032258,3.225806452,27.12903226,31,982,504,31.67741935,16.25806452,46.4744396,-87.0424802,31,87,0,3,0,10,25,11,42,74,No
Avondale School District,48290,1523,26554,20213,14.51894167,0.457907396,7.983764281,6.077269994,3326,45127,23856,13.56794949,7.172579675,42.62679418,-83.19055388,534.5,59.66666667,18.33333333,5.5,11.5,5.166666667,203.5,342,576.3333333,46.5,No
Bad Axe Public Schools,11225,593,6988,3644,11.08094768,0.585389931,6.898321816,3.597235933,1013,10285,6356,10.15301086,6.274432379,43.80520388,-83.0143088,251,94.75,0.75,2.25,1,1.5,97.5,115.25,232.75,56.25,No
Baldwin Community Schools,19879,1281,11858,6740,35.68940754,2.299820467,21.28904847,12.1005386,557,19408,4876,34.8438061,8.754039497,43.8895519,-85.8558361,128,56,40,2,1,1,101,10,115,91,No
